id; title; govtrack_url; introduced_date; last_vote; bill_id; active; sponsor_name; bill_type; committees
0; To amend the Federal Assets Sale and Transfer Act of 2016 to provide flexibility with respect to the leaseback of certain Federal real property, and for other purposes.; https://www.govtrack.us/congress/bills/115/hr7319; 2018-12-17; 2018-12-21; hr7319-115; True; Lou Barletta; hr; House Transportation and Infrastructure Committee
1; To amend the Federal Assets Sale and Transfer Act of 2016 to ensure that the Public Buildings Reform Board has adequate time to carry out the responsibilities of the Board, and for other purposes.; https://www.govtrack.us/congress/bills/115/hr7318; 2018-12-17; 2018-12-21; hr7318-115; True; Lou Barletta; hr; House Transportation and Infrastructure Committee
2; To amend the Federal Water Pollution Control Act to provide for an integrated planning process, to promote green infrastructure, and for other purposes.; https://www.govtrack.us/congress/bills/115/hr7279; 2018-12-12; 2018-12-19; hr7279-115; True; Bob Gibbs; hr; House Transportation and Infrastructure Committee
3; A bill to provide for a program of the Department of Defense to commemorate the 75th anniversary of World War II.; https://www.govtrack.us/congress/bills/115/s3661; 2018-11-27; 2018-12-21; s3661-115; True; James M. Inhofe; s; N/A
4; A bill to redesignate Hobe Sound National Wildlife Refuge as the Nathaniel P. Reed Hobe Sound National Wildlife Refuge, and for other purposes.; https://www.govtrack.us/congress/bills/115/s3456; 2018-09-18; 2018-12-21; s3456-115; True; Bill Nelson; s; Senate Environment and Public Works Committee
5; To reauthorize the New Jersey Coastal Heritage Trail Route, and for other purposes.; https://www.govtrack.us/congress/bills/115/hr6602; 2018-07-26; 2018-12-20; hr6602-115; True; Frank A. LoBiondo; hr; House Natural Resources Committee
6; A bill to improve programs and activities relating to women's entrepreneurship and economic empowerment that are carried out by the United States Agency for International Development, and for other purposes.; https://www.govtrack.us/congress/bills/115/s3247; 2018-07-19; 2018-12-21; s3247-115; True; John Boozman; s; Senate Foreign Relations Committee
7; To designate additions to the Flatside Wilderness on the Ouachita National Forest, and for other purposes.; https://www.govtrack.us/congress/bills/115/hr5636; 2018-04-26; N/A; hr5636-115; True; French Hill; hr; Senate Agriculture, Nutrition, and Forestry Committee
8; To authorize early repayment of obligations to the Bureau of Reclamation within the Northport Irrigation District in the State of Nebraska.; https://www.govtrack.us/congress/bills/115/hr4689; 2017-12-19; 2018-09-12; hr4689-115; True; Adrian Smith; hr; Senate Energy and Natural Resources Committee
9; To amend titles 5 and 44, United States Code, to require Federal evaluation activities, improve Federal data management, and for other purposes.; https://www.govtrack.us/congress/bills/115/hr4174; 2017-10-31; 2018-12-21; hr4174-115; True; Paul D. Ryan; hr; Senate Homeland Security and Governmental Affairs Committee
10; A bill to amend the Trafficking Victims Protection Act of 2000 to modify the criteria for determining whether countries are meeting the minimum standards for the elimination of human trafficking, and for other purposes.; https://www.govtrack.us/congress/bills/115/s1862; 2017-09-26; 2018-12-21; s1862-115; True; Bob Corker; s; Senate Foreign Relations Committee
11; A bill to enhance the transparency, improve the coordination, and intensify the impact of assistance to support access to primary and secondary education for displaced children and persons, including women and girls, and for other purposes.; https://www.govtrack.us/congress/bills/115/s1580; 2017-07-19; 2018-12-21; s1580-115; True; Marco Rubio; s; Senate Foreign Relations Committee
12; A bill to help prevent acts of genocide and other atrocity crimes, which threaten national and international security, by enhancing United States Government capacities to prevent, mitigate, and respond to such crises.; https://www.govtrack.us/congress/bills/115/s1158; 2017-05-17; 2018-12-21; s1158-115; True; Benjamin L. Cardin; s; Senate Foreign Relations Committee
13; A bill to reauthorize the Tropical Forest Conservation Act of 1998 through fiscal year 2021, and for other purposes.; https://www.govtrack.us/congress/bills/115/s1023; 2017-05-03; 2018-12-21; s1023-115; True; Rob Portman; s; Senate Foreign Relations Committee
14; A bill to modernize the regulation of nuclear energy.; https://www.govtrack.us/congress/bills/115/s512; 2017-03-02; 2018-12-21; s512-115; True; John Barrasso; s; Senate Environment and Public Works Committee
15; To require continued and enhanced annual reporting to Congress in the Annual Report on International Religious Freedom on anti-Semitic incidents in Europe, the safety and security of European Jewish communities, and the efforts of the United States to partner with European governments, the European Union, and civil society groups, to combat anti-Semitism, and for other purposes.; https://www.govtrack.us/congress/bills/115/hr672; 2017-01-24; N/A; hr672-115; True; Nita M. Lowey; hr; Senate Foreign Relations Committee
16; A bill to amend title 51, United States Code, to extend the authority of the National Aeronautics and Space Administration to enter into leases of non-excess property of the Administration.; https://www.govtrack.us/congress/bills/115/s7; 2018-11-27; 2018-12-20; s7-115; True; Roger Wicker; s; Senate Commerce, Science, and Transportation Committee
17; A bill to reauthorize the National Flood Insurance Program.; https://www.govtrack.us/congress/bills/115/s3628; 2018-11-15; 2018-12-21; s3628-115; True; John Kennedy; s; Senate Banking, Housing, and Urban Affairs Committee
18; A bill to reauthorize the Museum and Library Services Act.; https://www.govtrack.us/congress/bills/115/s3530; 2018-09-28; 2018-12-19; s3530-115; True; Jack Reed; s; Senate Health, Education, Labor, and Pensions Committee
19; A bill to develop a long-term strategic vision and a comprehensive, multifaceted, and principled United States policy for the Indo-Pacific region, and for other purposes.; https://www.govtrack.us/congress/bills/115/s2736; 2018-04-24; N/A; s2736-115; True; Cory Gardner; s; Senate Foreign Relations Committee
