candidate_id,bill_id,vote
400004,20,Nay
400029,20,Nay
400030,20,Yea
400033,20,Yea
400046,20,Nay
400052,20,Nay
400057,20,Nay
400068,20,Nay
400069,20,Yea
400071,20,Nay
400074,20,Yea
400075,20,Yea
400077,20,Nay
400081,20,Yea
400090,20,Yea
400093,20,Yea
400097,20,Yea
400100,20,Yea
400101,20,Yea
400103,20,Yea
400108,20,Nay
400111,20,Yea
400114,20,Yea
400122,20,Yea
400124,20,Yea
400157,20,Nay
400158,20,Nay
400162,20,Yea
400170,20,Yea
400189,20,Yea
400199,20,Yea
400204,20,Yea
400211,20,Yea
400218,20,Nay
400219,20,Yea
400220,20,Nay
400230,20,Yea
400232,20,Yea
400233,20,Yea
400237,20,Yea
400240,20,Yea
400245,20,Yea
400246,20,Yea
400247,20,Nay
400249,20,Yea
400251,20,Yea
400259,20,Yea
400263,20,Yea
400271,20,Yea
400289,20,Yea
400290,20,Yea
400291,20,Yea
400297,20,Nay
400308,20,Yea
400309,20,Yea
400314,20,Yea
400316,20,Nay
400326,20,Yea
400340,20,Nay
400341,20,Nay
400347,20,Yea
400349,20,Yea
400350,20,Yea
400352,20,Yea
400355,20,Yea
400360,20,Yea
400361,20,Yea
400363,20,Yea
400364,20,Yea
400365,20,Nay
400366,20,Yea
400371,20,Yea
400373,20,Nay
400376,20,Nay
400379,20,Yea
400380,20,Yea
400402,20,Yea
400403,20,Yea
400404,20,Nay
400411,20,Nay
400414,20,Nay
400416,20,Yea
400417,20,Yea
400419,20,Nay
400422,20,Yea
400433,20,Nay
400440,20,Nay
400616,20,Yea
400618,20,Yea
400623,20,Yea
400630,20,Yea
400639,20,Yea
400640,20,Nay
400641,20,Yea
400643,20,Nay
400644,20,Nay
400651,20,Nay
400653,20,Yea
400654,20,Nay
400655,20,Nay
400656,20,Nay
400657,20,Yea
400659,20,Nay
400661,20,Yea
400663,20,Yea
412186,20,Yea
412189,20,Yea
412190,20,Nay
412191,20,Nay
412192,20,Yea
412193,20,Yea
412195,20,Yea
412196,20,Nay
412199,20,Yea
412209,20,Yea
412211,20,Yea
412212,20,Yea
412213,20,Nay
412217,20,Nay
412221,20,Yea
412226,20,Nay
412236,20,Yea
412239,20,Yea
412250,20,Nay
412255,20,Nay
412256,20,Nay
412257,20,Yea
412258,20,Yea
412259,20,Yea
412261,20,Nay
412272,20,Yea
412278,20,Nay
412282,20,Yea
412283,20,Nay
412286,20,Yea
412292,20,Nay
412293,20,Yea
412295,20,Nay
412302,20,Nay
412307,20,Yea
412309,20,Nay
412310,20,Nay
412315,20,Yea
412317,20,Nay
412318,20,Yea
412319,20,Yea
412327,20,Yea
412331,20,Yea
412379,20,Yea
412382,20,Not Voting
412385,20,Yea
412388,20,Nay
412393,20,Nay
412394,20,Nay
412395,20,Nay
412396,20,Yea
412397,20,Nay
412399,20,Nay
412400,20,Nay
412402,20,Nay
412404,20,Yea
412405,20,Nay
412410,20,Nay
412412,20,Yea
412416,20,Nay
412417,20,Nay
412421,20,Nay
412427,20,Nay
412432,20,Yea
412434,20,Nay
412435,20,Yea
412437,20,Nay
412438,20,Nay
412443,20,Nay
412444,20,Nay
412445,20,Nay
412460,20,Nay
412461,20,Nay
412463,20,Nay
412465,20,Nay
412470,20,Yea
412472,20,Nay
412476,20,Nay
412477,20,Nay
412480,20,Nay
412485,20,Nay
412486,20,Nay
412487,20,Nay
412488,20,Nay
412500,20,Nay
412501,20,Yea
412503,20,Nay
412505,20,Yea
412506,20,Yea
412510,20,Nay
412511,20,Yea
412512,20,Yea
412513,20,Nay
412514,20,Yea
412516,20,Yea
412517,20,Yea
412519,20,Yea
412520,20,Yea
412521,20,Yea
412522,20,Yea
412523,20,Yea
412525,20,Nay
412529,20,Not Voting
412531,20,Nay
412532,20,Yea
412534,20,Yea
412536,20,Nay
412537,20,Yea
412538,20,Nay
412539,20,Nay
412541,20,Nay
412543,20,Yea
412546,20,Yea
412548,20,Nay
412550,20,Nay
412552,20,Nay
412553,20,Nay
412557,20,Yea
412559,20,Yea
412560,20,Yea
412561,20,Yea
412562,20,Yea
412563,20,Nay
412564,20,Nay
412565,20,Yea
412566,20,Nay
412568,20,Nay
412569,20,Nay
412571,20,Yea
412572,20,Nay
412574,20,Nay
412576,20,Yea
412578,20,Nay
412579,20,Yea
412580,20,Yea
412581,20,Nay
412583,20,Yea
412584,20,Yea
412585,20,Yea
412595,20,Yea
412596,20,Nay
412600,20,Yea
412601,20,Nay
412606,20,Yea
412607,20,Yea
412608,20,Nay
412609,20,Nay
412610,20,Nay
412612,20,Yea
412613,20,Yea
412615,20,Yea
412616,20,Yea
412617,20,Yea
412619,20,Nay
412622,20,Nay
412623,20,Nay
412624,20,Nay
412625,20,Nay
412629,20,Nay
412630,20,Not Voting
412631,20,Nay
412632,20,Yea
412634,20,Nay
412637,20,Yea
412638,20,Yea
412639,20,Nay
412641,20,Nay
412644,20,Yea
412646,20,Nay
412647,20,Yea
412648,20,Nay
412649,20,Not Voting
412652,20,Yea
412653,20,Nay
412654,20,Nay
412655,20,Nay
412657,20,Yea
412660,20,Nay
412661,20,Nay
412662,20,Nay
412670,20,Nay
412673,20,Nay
412674,20,Nay
412675,20,Nay
412676,20,Nay
412677,20,Yea
412682,20,Yea
412683,20,Nay
412684,20,Yea
412685,20,Yea
412686,20,Yea
412687,20,Yea
412688,20,Yea
412689,20,Yea
412690,20,Nay
412691,20,Nay
412692,20,Nay
412693,20,Yea
412694,20,Yea
412695,20,Not Voting
412696,20,Yea
412697,20,Yea
412698,20,Nay
412699,20,Nay
412700,20,Nay
412701,20,Yea
412702,20,Nay
412703,20,Nay
412704,20,Nay
412705,20,Nay
412706,20,Nay
412707,20,Yea
412708,20,Yea
412709,20,Nay
412710,20,Nay
412712,20,Nay
412713,20,Nay
412714,20,Yea
412717,20,Yea
412718,20,Yea
412721,20,Yea
412722,20,Nay
412724,20,Nay
412725,20,Yea
412726,20,Nay
412728,20,Yea
412730,20,Yea
412731,20,Nay
412732,20,Nay
412735,20,Nay
412736,20,Nay
412738,20,Nay
412739,20,Yea
412740,20,Nay
412744,20,Yea
412745,20,Nay
412746,20,Nay
412747,20,Nay
412748,20,Nay
412749,20,Yea
412750,20,Yea
412751,20,Yea
412753,20,Yea
412754,20,Yea
412755,20,Yea
412756,20,Yea
412757,20,Yea
412758,20,Yea
412759,20,Yea
412760,20,Yea
412761,20,Yea
412762,20,Yea
412763,20,Yea
412764,20,Nay
412765,20,Nay
412766,20,Nay
412767,20,Yea
412768,20,Yea
412769,20,Yea
412771,20,Yea
412772,20,Yea
412773,20,Nay
412774,20,Yea
412775,20,Yea
412776,20,Yea
412777,20,Nay
412778,20,Nay
412779,20,Nay
412780,20,Yea
412781,20,Yea
412782,20,Yea
412783,20,Yea
412784,20,Yea
412785,20,Yea
412786,20,Yea
412787,20,Yea
412788,20,Nay
412789,20,Yea
412790,20,Yea
412791,20,Yea
412792,20,Nay
412793,20,Nay
412794,20,Nay
412795,20,Yea
412796,20,Yea
412797,20,Yea
412798,20,Yea
412799,20,Yea
412800,20,Yea
412801,20,Nay
412802,20,Yea
412803,20,Yea
412804,20,Yea
412805,20,Yea
412806,20,Nay
412807,20,Nay
412808,20,Nay
412809,20,Yea
412810,20,Yea
412811,20,Not Voting
412812,20,Nay
412813,20,Nay
412814,20,Yea
412815,20,Nay
412816,20,Nay
412817,20,Nay
412818,20,Nay
412819,20,Nay
412820,20,Nay
412821,20,Nay
412822,20,Nay
412823,20,Nay
412824,20,Yea
412825,20,Yea
412826,20,Nay
412827,20,Yea
412828,20,Yea
412829,20,Nay
412830,20,Yea
412831,20,Nay
412832,20,Nay
412833,20,Yea
412834,20,Yea
412835,20,Yea
412836,20,Nay
412837,20,Nay
412842,20,Nay
400004,19,Yea
400029,19,Not Voting
400030,19,Yea
400033,19,Yea
400046,19,Yea
400052,19,Yea
400057,19,Yea
400068,19,Not Voting
400069,19,Yea
400071,19,Yea
400074,19,Yea
400075,19,Yea
400077,19,Yea
400081,19,Yea
400090,19,Yea
400093,19,Yea
400097,19,Yea
400100,19,Yea
400101,19,Yea
400103,19,Yea
400108,19,Yea
400111,19,Yea
400114,19,Yea
400122,19,Yea
400124,19,Yea
400157,19,Yea
400158,19,Yea
400162,19,Yea
400170,19,Yea
400189,19,Yea
400199,19,Yea
400204,19,Yea
400211,19,Yea
400218,19,Yea
400219,19,Yea
400220,19,Yea
400230,19,Yea
400232,19,Yea
400233,19,Yea
400237,19,Yea
400240,19,Yea
400245,19,Yea
400246,19,Yea
400247,19,Yea
400249,19,Yea
400251,19,Yea
400259,19,Yea
400263,19,Yea
400271,19,Yea
400289,19,Yea
400290,19,Yea
400291,19,Yea
400297,19,Yea
400308,19,Yea
400309,19,Yea
400316,19,Yea
400326,19,Yea
400340,19,Yea
400341,19,Not Voting
