name;donor;contribution
Ralph Abraham;Acadian Companies;$16,900
Ralph Abraham;Madden Contracting;$16,200
Ralph Abraham;American Society of Anesthesiologists;$12,500
Ralph Abraham;Central Management;$11,800
Ralph Abraham;CenturyLink;$11,050
Alma Adams;Sheet Metal, Air, Rail & Transportation Union;$12,500
Alma Adams;Congressional Black Caucus PAC;$12,000
Alma Adams;Atrium Health;$10,500
Alma Adams;American Crystal Sugar;$10,000
Alma Adams;American Federation of State/Cnty/Munic Employees;$10,000
Robert B Aderholt;McWane Inc;$28,000
Robert B Aderholt;Maynard, Cooper & Gale;$22,660
Robert B Aderholt;Northrop Grumman;$19,500
Robert B Aderholt;Southern Co;$18,500
Robert B Aderholt;Altria Group;$12,500
Pete Aguilar;Buchanan, Ingersoll & Rooney;$21,600
Pete Aguilar;Northrop Grumman;$20,048
Pete Aguilar;Telacu;$18,900
Pete Aguilar;UnitedHealth Group;$14,025
Pete Aguilar;Edison International;$13,155
Lamar Alexander;Blue Cross/Blue Shield;$63,750
Lamar Alexander;International Paper;$46,550
Lamar Alexander;Community Health Systems;$28,850
Lamar Alexander;Hercules Holding;$28,600
Lamar Alexander;Comcast Corp;$28,300
Richard W Allen;RW Allen LLC;$14,300
Richard W Allen;MAU Workforce Solutions;$11,800
Richard W Allen;Pollard Lumber;$10,800
Richard W Allen;Yancey Brothers;$10,800
Richard W Allen;Home Depot;$10,500
Justin Amash;Michigan Industrial Tools;$32,400
Justin Amash;House Freedom Fund;$27,748
Justin Amash;S Abraham & Sons;$21,200
Justin Amash;Amway/Alticor Inc;$16,200
Justin Amash;Detroit Forming Inc;$16,200
Mark Amodei;Station Casinos;$19,200
Mark Amodei;Sierra Nevada Corp;$15,900
Mark Amodei;Silver Lake Partners;$15,200
Mark Amodei;South Point Hotel & Casino;$10,800
Mark Amodei;Las Vegas Sands;$10,400
Jodey Arrington;Reagor Dykes Auto Group;$18,900
Jodey Arrington;National Apartment Assn;$15,000
Jodey Arrington;Dian Graves Owen Foundation;$13,600
Jodey Arrington;Enervest Ltd;$11,800
Jodey Arrington;Key Animal Clinic;$10,800
Brian Babin;Northrop Grumman;$19,500
Brian Babin;Trans-Global Solutions;$18,900
Brian Babin;American Dental Assn;$12,450
Brian Babin;Dannenbaum Engineering;$10,800
Brian Babin;Boeing Co;$10,500
Don Bacon;Tenaska Energy;$23,739
Don Bacon;TD Ameritrade;$20,703
Don Bacon;Green Plains;$16,000
Don Bacon;Kiewit Corp;$15,800
Don Bacon;Werner Enterprises;$15,400
Troy Balderson;Huntington Bancshares;$23,000
Troy Balderson;L Brands;$22,000
Troy Balderson;Shelly & Sands;$21,600
Troy Balderson;Kessler Sign Co;$21,150
Troy Balderson;Utility Technologies International Cor;$20,900
Tammy Baldwin;University of Wisconsin;$473,312
Tammy Baldwin;J Street;$214,238
Tammy Baldwin;Democracy Engine;$187,049
Tammy Baldwin;League of Conservation Voters;$93,866
Tammy Baldwin;Womencount PAC;$89,659
Jim Banks;MacAndrews & Forbes;$27,600
Jim Banks;Harris Corp;$16,000
Jim Banks;Northrop Grumman;$14,500
Jim Banks;American Bankers Assn;$11,000
Jim Banks;Boeing Co;$11,000
Lou Barletta;Jennmar Corp;$29,000
Lou Barletta;Citizens for Prosperity in America Today;$26,040
Lou Barletta;Pride Mobility Products;$17,200
