id; title; sponsor_name; introduced_date; status
0; H.Res. 124: Expressing opposition to banning service in the Armed Forces by openly transgender individuals.; Joseph Kennedy III; Mar 28, 2019; This simple resolution was agreed to on March 28, 2019. That is the end of the legislative process for a simple resolution.
1; H.R. 7: Paycheck Fairness Act; Rosa DeLauro; Mar 27, 2019; This bill passed in the House on March 27, 2019 and goes to the Senate next for consideration.
2; H.Res. 252: Providing for consideration of the bill (H.R. 7) to amend the Fair Labor Standards Act of 1938 to provide more effective remedies to victims of discrimination in the payment of wages on the basis of sex, and for other purposes, and providing for consideration of the resolution (H. Res. 124) expressing opposition to banning service in the Armed Forces by openly transgender individuals.; Norma Torres; Mar 27, 2019; This simple resolution was agreed to on March 27, 2019. That is the end of the legislative process for a simple resolution.
3; H.R. 297: Little Shell Tribe of Chippewa Indians Restoration Act of 2019; Greg Gianforte; Mar 26, 2019; This bill passed in the House on March 26, 2019 and goes to the Senate next for consideration.
4; H.R. 1388: Lytton Rancheria Homelands Act of 2019; Jared Huffman; Mar 26, 2019; This bill passed in the House on March 26, 2019 and goes to the Senate next for consideration.
5; H.R. 1616: To prioritize the efforts of and enhance coordination among United States agencies to encourage countries in Europe and Eurasia to diversify their energy sources and supply routes, increase energy security in the region, and help the United States reach its global energy security goals, and for other purposes.; Adam Kinzinger; Mar 25, 2019; This bill passed in the House on March 25, 2019 and goes to the Senate next for consideration.
6; H.J.Res. 46: Relating to a national emergency declared by the President on February 15, 2019.; Joaquin Castro; Mar 26, 2019; This resolution was vetoed. The House attempted to override the veto on March 26, 2019 but failed.
7; H.Con.Res. 24: Expressing the sense of Congress that the report of Special Counsel Mueller should be made available to the public and to Congress.; Jerrold Nadler; Mar 14, 2019; This resolution passed in the House on March 14, 2019 and goes to the Senate next for consideration.
8; S.J.Res. 7: A joint resolution to direct the removal of United States Armed Forces from hostilities in the Republic of Yemen that have not been authorized by Congress.; Bernard “Bernie” Sanders; Mar 13, 2019; This resolution passed in the Senate on March 13, 2019 and goes to the House next for consideration.
9; H.Res. 208: Providing for consideration of the concurrent resolution (H. Con. Res. 24) expressing the sense of Congress that the report of Special Counsel Mueller should be made available to the public and to Congress, and providing for proceedings during the period from March 15, 2019, through March 22, 2019.; Mark DeSaulnier; Mar 13, 2019; This simple resolution was agreed to on March 13, 2019. That is the end of the legislative process for a simple resolution.
