id,person,state,district,name,party
0,400004,AL,4,Robert Aderholt,Republican
1,400029,UT,1,Rob Bishop,Republican
2,400030,GA,2,Sanford Bishop Jr.,Democrat
3,400033,OR,3,Earl Blumenauer,Democrat
4,400046,TX,8,Kevin Brady,Republican
5,400052,TX,26,Michael Burgess,Republican
6,400057,CA,42,Ken Calvert,Republican
7,400068,TX,31,John Carter,Republican
8,400069,HI,1,Ed Case,Democrat
9,400071,OH,1,Steve Chabot,Republican
10,400074,MO,1,Lacy Clay Jr.,Democrat
11,400075,SC,6,James “Jim” Clyburn,Democrat
12,400077,OK,4,Tom Cole,Republican
13,400081,TN,5,Jim Cooper,Democrat
14,400090,MD,7,Elijah Cummings,Democrat
15,400093,IL,7,Danny Davis,Democrat
16,400097,CA,53,Susan Davis,Democrat
17,400100,OR,4,Peter DeFazio,Democrat
18,400101,CO,1,Diana DeGette,Democrat
19,400103,CT,3,Rosa DeLauro,Democrat
20,400108,FL,25,Mario Diaz-Balart,Republican
21,400111,TX,35,Lloyd Doggett,Democrat
22,400114,PA,18,Michael “Mike” Doyle Jr.,Democrat
23,400122,NY,16,Eliot Engel,Democrat
24,400124,CA,18,Anna Eshoo,Democrat
25,400157,TX,12,Kay Granger,Republican
26,400158,MO,6,Sam Graves,Republican
27,400162,AZ,3,Raúl Grijalva,Democrat
28,400170,FL,20,Alcee Hastings,Democrat
29,400189,MD,5,Steny Hoyer,Democrat
30,400199,TX,18,Sheila Jackson Lee,Democrat
31,400204,TX,30,Eddie Johnson,Democrat
32,400211,OH,9,Marcy Kaptur,Democrat
33,400218,WI,3,Ron Kind,Democrat
34,400219,NY,2,Peter “Pete” King,Republican
35,400220,IA,4,Steve King,Republican
36,400230,RI,2,James “Jim” Langevin,Democrat
37,400232,WA,2,Rick Larsen,Democrat
38,400233,CT,1,John Larson,Democrat
39,400237,CA,13,Barbara Lee,Democrat
40,400240,GA,5,John Lewis,Democrat
41,400245,CA,19,Zoe Lofgren,Democrat
42,400246,NY,17,Nita Lowey,Democrat
43,400247,OK,3,Frank Lucas,Republican
44,400249,MA,8,Stephen Lynch,Democrat
45,400251,NY,12,Carolyn Maloney,Democrat
46,400259,MN,4,Betty McCollum,Democrat
47,400263,MA,2,James “Jim” McGovern,Democrat
48,400271,NY,5,Gregory Meeks,Democrat
49,400289,NY,10,Jerrold Nadler,Democrat
50,400290,CA,32,Grace Napolitano,Democrat
51,400291,MA,1,Richard Neal,Democrat
52,400297,CA,22,Devin Nunes,Republican
53,400308,NJ,6,Frank Pallone Jr.,Democrat
54,400309,NJ,9,Bill Pascrell Jr.,Democrat
55,400314,CA,12,Nancy Pelosi,Democrat
56,400316,MN,7,Collin Peterson,Democrat
57,400326,NC,4,David Price,Democrat
58,400340,KY,5,Harold “Hal” Rogers,Republican
59,400341,AL,3,Mike Rogers,Republican
60,400347,CA,40,Lucille Roybal-Allard,Democrat
61,400349,MD,2,A. Dutch Ruppersberger,Democrat
62,400350,IL,1,Bobby Rush,Democrat
63,400352,OH,13,Tim Ryan,Democrat
64,400355,CA,38,Linda Sánchez,Democrat
65,400360,IL,9,Janice “Jan” Schakowsky,Democrat
66,400361,CA,28,Adam Schiff,Democrat
67,400363,GA,13,David Scott,Democrat
68,400364,VA,3,Robert “Bobby” Scott,Democrat
69,400365,WI,5,James Sensenbrenner Jr.,Republican
70,400366,NY,15,José Serrano,Democrat
71,400371,CA,30,Brad Sherman,Democrat
72,400373,IL,15,John Shimkus,Republican
73,400376,ID,2,Michael “Mike” Simpson,Republican
74,400379,WA,9,Adam Smith,Democrat
75,400380,NJ,4,Christopher “Chris” Smith,Republican
76,400402,MS,2,Bennie Thompson,Democrat
77,400403,CA,5,Mike Thompson,Democrat
78,400404,TX,13,Mac Thornberry,Republican
79,400411,OH,10,Michael Turner,Republican
80,400414,MI,6,Fred Upton,Republican
81,400416,NY,7,Nydia Velázquez,Democrat
82,400417,IN,1,Peter Visclosky,Democrat
83,400419,OR,2,Greg Walden,Republican
84,400422,CA,43,Maxine Waters,Democrat
85,400433,SC,2,Joe Wilson,Republican
86,400440,AK,0,Don Young,Republican
87,400616,NC,1,George “G.K.” Butterfield Jr.,Democrat
88,400618,CA,16,Jim Costa,Democrat
89,400623,FL,23,Debbie Wasserman Schultz,Democrat
90,400630,IL,3,Daniel Lipinski,Democrat
91,400639,MO,5,Emanuel Cleaver II,Democrat
92,400640,NE,1,Jeff Fortenberry,Republican
93,400641,NY,26,Brian Higgins,Democrat
94,400643,NC,5,Virginia Foxx,Republican
95,400644,NC,10,Patrick McHenry,Republican
96,400651,TX,1,Louie Gohmert Jr.,Republican
97,400653,TX,9,Al Green,Democrat
98,400654,TX,10,Michael McCaul,Republican
99,400655,TX,11,Michael Conaway,Republican
100,400656,TX,24,Kenny Marchant,Republican
101,400657,TX,28,Henry Cuellar,Democrat
102,400659,WA,5,Cathy McMorris Rodgers,Republican
103,400661,WI,4,Gwen Moore,Democrat
104,400663,CA,6,Doris Matsui,Democrat
105,412186,NJ,8,Albio Sires,Democrat
106,412189,CA,9,Jerry McNerney,Democrat
107,412190,CA,23,Kevin McCarthy,Republican
108,412191,CO,5,Doug Lamborn,Republican
109,412192,CO,7,Ed Perlmutter,Democrat
110,412193,CT,2,Joe Courtney,Democrat
111,412195,FL,14,Kathy Castor,Democrat
112,412196,FL,16,Vern Buchanan,Republican
113,412199,GA,4,Henry “Hank” Johnson Jr.,Democrat
114,412209,IA,2,David Loebsack,Democrat
115,412211,KY,3,John Yarmuth,Democrat
116,412212,MD,3,John Sarbanes,Democrat
117,412213,MI,7,Tim Walberg,Republican
118,412217,NE,3,Adrian Smith,Republican
119,412221,NY,9,Yvette Clarke,Democrat
120,412226,OH,4,Jim Jordan,Republican
121,412236,TN,9,Steve Cohen,Democrat
122,412239,VT,0,Peter Welch,Democrat
123,412250,FL,12,Gus Bilirakis,Republican
124,412255,VA,1,Robert Wittman,Republican
125,412256,OH,5,Robert Latta,Republican
126,412257,IL,11,Bill Foster,Democrat
127,412258,IN,7,André Carson,Democrat
128,412259,CA,14,Jackie Speier,Democrat
129,412261,LA,1,Steve Scalise,Republican
130,412272,VA,11,Gerald Connolly,Democrat
131,412278,KY,2,Brett Guthrie,Republican
132,412282,CT,4,James Himes,Democrat
133,412283,CA,50,Duncan Hunter,Republican
134,412286,AZ,2,Ann Kirkpatrick,Democrat
135,412292,MO,3,Blaine Luetkemeyer,Republican
136,412293,NM,3,Ben Luján,Democrat
137,412295,CA,4,Tom McClintock,Republican
138,412302,TX,22,Pete Olson,Republican
139,412307,ME,1,Chellie Pingree,Democrat
140,412309,FL,8,Bill Posey,Republican
141,412310,TN,1,David “Phil” Roe,Republican
142,412315,OR,5,Kurt Schrader,Democrat
143,412317,PA,15,Glenn Thompson,Republican
144,412318,NV,1,Dina Titus,Democrat
