race, incumbent, winner, year
Arizona, Jeff Flake, Kyrsten Sinema, 2018
California, Dianne Feinstein, Dianne Feinstein, 2018
Florida, Bill Nelson, Rick Scott, 2018
Indiana, Joe Donnelly, Mike Braun, 2018
Minnesota (special), Tina Smith, Tina Smith, 2018
Missouri, Claire McCaskill, Josh Hawley, 2018
Mississippi (special), Cindy Hyde-Smith, Cindy Hyde-Smith, 2018
Montana, Jon Tester, Jon Tester, 2018
North Dakota, Heidi Heitkamp, Kevin Cramer, 2018
New Jersey, Bob Menendez, Bob Menendez, 2018
New Mexico, Martin Heinrich, Martin Heinrich, 2018
Nevada, Dean Heller, Jacky Rosen, 2018
Ohio, Sherrod Brown, Sherrod Brown, 2018
Tennessee, Bob Corker, Marsha Blackburn, 2018
Texas, Ted Cruz, Ted Cruz, 2018
West Virginia, Joe Manchin, Joe Manchin, 2018
